Time,ID,x_coord,y_coord,Speed,Acceleration
44,1072,183.92,0,16.1,-0.03
44,1066,161.54,1,15.01,0.24
44,1094,160.12,2,14.68,0.1
44,1115,134.45,0,14.56,0.32
44,1177,120.55,2,15.27,0.02
44,1199,108.91,0,14.07,-0.03
44,1166,107.96,1,14.24,0.17
44,1241,79.74,1,14.23,-0.14
44,1220,79.1,2,13.75,0.15
44,1277,73.68,0,16.83,-0.81
44,1294,42.69,2,12.81,0.25
44,1326,42.41,0,18.59,-0.76
44,1310,34.19,1,12.7,0.38
44,1357,11.9,0,12.04,0.36
44,1378,3.24,2,16.06,-1.33
45,972,677.35,2,19.97,0.21
45,523,663.44,0,22.44,0.24
45,401,646.35,1,19.93,-0.01
45,587,610.56,0,22.37,0.26
45,470,601.92,1,19.46,0.14
45,1078,599.76,2,18.98,0.18
45,517,578.24,1,17.31,0.34
45,629,560.32,0,21.74,0.11
45,566,543.05,2,19.62,0.25
45,1183,525.37,2.41,17.31,0.07
45,672,504.58,0,21.16,0.16
45,560,500.97,1,19.38,0.11
45,618,486.42,2,19.03,-0.36
45,734,455.35,0,19.97,0.35
45,666,440.08,1,19.05,0.15
45,713,425.73,2,19.83,0.06
45,777,413.03,0,18.92,0.17
45,819,368.33,0,18.42,0.17
45,766,357.76,1,17.82,0.25
45,813,345.94,2,18.92,0.13
45,882,329.94,0,17.46,0.2
45,903,303.42,2,17.22,0.29
45,924,294.5,0,16.7,0.16
45,860,293.02,1,16.86,0.34
45,988,263.5,0,15.94,-0.02
45,966,255.57,2,16.98,0.21
45,1030,234.15,0,15.64,0.16
45,960,228.34,1,15.89,0.2
45,1019,206.97,2,16.28,0.12
45,1072,200.02,0,16.11,0
45,1066,176.66,1,15.27,0.33
45,1094,174.9,2,14.92,0.27
45,1115,149.16,0,14.8,0.14
45,1177,135.82,2,15.27,-0.1
45,1199,123,0,14.14,0.06
45,1166,122.31,1,14.47,0.31
45,1241,93.98,1,14.27,0.16
45,1220,93,2,14.05,0.27
45,1277,90.19,0,16.21,-0.48
45,1326,60.6,0,17.78,-0.87
45,1294,55.62,2,13.05,0.18
45,1310,47,1,12.95,0.27
45,1357,24.07,0,12.33,0.39
45,1378,18.79,2,15.13,-0.73
46,523,686,0,22.65,0.24
46,401,666.32,1,20.03,0.1
46,587,633.04,0,22.56,0.11
46,470,621.39,1,19.53,0.18
46,1078,618.9,2,19.29,0.24
46,517,595.64,1,17.5,0.26
46,629,582.17,0,21.94,0.26
46,566,562.75,2,19.76,0.06
46,1183,542.78,2.08,17.53,0.22
46,672,525.88,0,21.45,0.35
46,560,520.4,1,19.45,-0.05
46,618,505.35,2,18.79,-0.39
46,734,475.43,0,20.18,0.23
46,666,459.23,1,19.27,0.24
46,713,445.68,2,20.03,0.04
46,777,432.08,0,19.15,0.16
46,819,386.83,0,18.62,0.33
46,766,375.73,1,18.12,0.32
46,813,365.04,2,19.25,0.25
46,882,347.51,0,17.71,0.29
46,903,320.79,2,17.5,0.16
46,924,311.25,0,16.82,0.22
46,860,309.97,1,17.08,0.2
46,988,279.54,0,16.13,0.19
46,966,272.65,2,17.17,0.06
46,1030,249.81,0,15.69,0.11
46,960,244.32,1,16.08,0.19
46,1019,223.4,2,16.56,0.09
46,1072,216.09,0,16.02,-0.15
46,1066,192.07,1,15.56,0.37
46,1094,189.94,2,15.16,0.25
46,1115,164.13,0,15.13,0.41
46,1177,151.12,2,15.32,-0.13
46,1199,137.19,0,14.22,-0.02
46,1166,136.94,1,14.8,0.35
46,1241,108.28,1,14.31,-0.03
46,1220,107.18,2,14.32,0.24
46,1277,106.17,0,15.77,-0.34
46,1326,78.01,0,17.04,-0.69
46,1294,68.73,2,13.22,0.25
46,1310,60.06,1,13.17,0.21
46,1357,36.58,0,12.68,0.32
46,1378,33.55,2,14.45,-0.71
46,1410,12.32,1,12.46,0.34
46,1431,3.81,0,18.75,-2.82
47,401,686.44,1,20.19,-0.01
47,587,655.72,0,22.79,0.13
47,470,641,1,19.7,0.16
47,1078,638.34,2,19.57,0.1
47,517,613.22,1,17.67,0.13
47,629,604.23,0,22.16,0.17
47,566,582.61,2,19.98,0.27
47,1183,560.44,2,17.85,0.31
47,672,547.43,0,21.66,0.23
47,560,539.87,1,19.48,0.02
47,618,524.06,2,18.66,-0.13
47,734,495.7,0,20.38,0.29
47,1288,491.25,3,16.97,0.1
47,666,478.59,1,19.46,0.17
47,713,465.6,2,19.29,-1.99
47,777,451.35,0,19.41,0.34
47,819,405.53,0,18.78,0.11
47,766,393.96,1,18.36,0.32
47,813,384.47,2,19.61,0.14
47,882,365.32,0,17.91,0.33
47,903,338.39,2,17.71,0.11
47,924,328.2,0,17.07,0.17
47,860,327.15,1,17.29,0.23
47,988,295.72,0,16.26,0.21
47,966,289.91,2,17.4,0.29
47,1030,265.53,0,15.76,0.16
47,960,260.56,1,16.35,0.31
47,1019,240.08,2,16.84,0.22
47,1072,232.09,0,15.99,-0.02
47,1066,207.77,1,15.84,0.31
47,1094,205.25,2,15.49,0.35
47,1115,179.38,0,15.34,0.18
47,1177,166.5,2,15.44,0.11
47,1166,151.88,1,15.07,0.28
47,1199,151.51,0,14.44,0.22
47,1241,122.62,1,14.38,0.12
47,1277,121.72,0,15.36,-0.24
47,1220,121.65,2,14.62,0.28
47,1326,94.69,0,16.38,-0.58
47,1294,82.02,2,13.4,0.12
47,1310,73.37,1,13.44,0.16
47,1357,49.43,0,12.99,0.25
47,1378,47.77,2,14.04,-0.42
47,1410,24.94,1,12.73,0.18
47,1431,21.37,0,16.55,-1.84
48,587,678.63,0,23.04,0.25
48,470,660.86,1,19.97,0.28
48,1078,658.04,2,19.83,0.18
48,517,630.99,1,17.86,0.29
48,629,626.53,0,22.41,0.14
48,566,602.72,2,20.27,0.26
48,1183,578.42,2,18.14,0.38
48,672,569.19,0,21.89,0.26
48,560,559.43,1,19.59,-0.03
48,618,542.69,2,18.61,-0.18
48,734,516.19,0,20.62,0.38
48,1288,508.38,2.82,17.26,0.14
48,666,498.17,1,19.71,0.28
48,713,484.17,2,18,-0.91
48,777,470.88,0,19.65,0.33
48,819,424.4,0,18.95,0.15
48,766,412.45,1,18.63,0.23
48,813,404.2,2,19.83,0.05
48,882,383.3,0,18.07,0.2
48,903,356.22,2,17.97,0.21
48,924,345.38,0,17.29,0.34
48,860,344.55,1,17.52,0.27
48,988,312.06,0,16.42,0.16
48,966,307.4,2,17.58,0.05
48,1030,281.34,0,15.83,-0.01
48,960,277.02,1,16.62,0.39
48,1019,257.07,2,17.13,0.33
48,1072,248.08,0,16.02,0.08
48,1066,223.74,1,16.09,0.27
48,1094,220.84,2,15.71,0.2
48,1115,194.89,0,15.68,0.34
48,1177,181.96,2,15.53,0.11
48,1166,167.12,1,15.38,0.32
48,1199,166.05,0,14.64,0.15
48,1241,137.1,1,14.59,0.26
48,1277,136.96,0,15.11,-0.27
48,1220,136.4,2,14.87,0.26
48,1326,110.77,0,15.81,-0.46
48,1294,95.57,2,13.72,0.26
48,1310,86.88,1,13.6,0.21
48,1357,62.57,0,13.27,0.23
48,1378,61.7,2,13.85,-0.3
48,1410,37.81,1,13.03,0.35
48,1431,37.21,0,15.22,-1.19
48,1467,10.18,2,12.85,0.25
48,1473,8.85,1,14.58,-0.57
49,470,680.96,1,20.26,0.34
49,1078,678.02,2,20.17,0.3
49,629,649.06,0,22.63,0.09
49,517,648.95,1,18.06,0.27
49,566,623.07,2,20.48,0.27
49,1183,596.71,2,18.45,0.33
49,672,591.19,0,22.12,0.36
49,560,579.07,1,19.69,-0.05
49,618,561.3,2,18.59,-0.1
49,734,536.93,0,20.83,0.09
49,1288,525.76,2.41,17.5,0.2
49,666,517.99,1,19.93,0.27
49,713,502.05,1.96,17.83,-0.01
49,777,490.64,0,19.83,0.08
49,819,443.44,0,19.14,0.27
49,766,431.19,1,18.84,0.27
49,813,424.11,2,20.04,0.18
49,882,401.48,0,18.31,0.28
49,903,374.28,2,18.19,0.21
49,924,362.75,0,17.46,0.06
49,860,362.21,1,17.76,0.15
49,988,328.58,0,16.62,0.28
49,966,325.09,2,17.82,0.26
